,close
2021-01-04,227.85000610351562
2021-01-05,240.39999389648438
2021-01-06,227.61000061035156
2021-01-07,226.89999389648438
2021-01-08,236.19000244140625
2021-01-11,227.3699951171875
2021-01-12,225.60000610351562
2021-01-13,235.3000030517578
2021-01-14,242.97999572753906
2021-01-15,243.4600067138672
2021-01-19,251.64999389648438
2021-01-20,265.489990234375
2021-01-21,260.0
2021-01-22,258.6199951171875
2021-01-25,261.3800048828125
2021-01-26,265.9200134277344
2021-01-27,260.25
2021-01-28,260.760009765625
2021-01-29,253.8300018310547
2021-02-01,264.69000244140625
2021-02-02,254.5
2021-02-03,263.42999267578125
2021-02-04,266.9599914550781
2021-02-05,265.6700134277344
2021-02-08,262.5899963378906
2021-02-09,266.489990234375
2021-02-10,267.7900085449219
2021-02-11,268.92999267578125
2021-02-12,267.8500061035156
2021-02-16,270.70001220703125
2021-02-17,270.8299865722656
2021-02-18,264.510009765625
2021-02-19,263.5899963378906
2021-02-22,254.0
2021-02-23,252.75
2021-02-24,250.33999633789062
2021-02-25,240.17999267578125
2021-02-26,237.75999450683594
2021-03-01,241.69000244140625
2021-03-02,234.4199981689453
2021-03-03,236.27000427246094
2021-03-04,230.5
2021-03-05,233.88999938964844
2021-03-08,226.69000244140625
2021-03-09,238.13999938964844
2021-03-10,234.3000030517578
2021-03-11,240.8000030517578
2021-03-12,231.8699951171875
2021-03-15,230.27999877929688
2021-03-16,226.92999267578125
2021-03-17,233.33999633789062
2021-03-18,236.42999267578125
2021-03-19,239.7899932861328
2021-03-22,237.1199951171875
2021-03-23,237.6699981689453
2021-03-24,229.58999633789062
2021-03-25,222.72000122070312
2021-03-26,227.25999450683594
2021-03-29,231.86000061035156
2021-03-30,229.25
2021-03-31,226.72999572753906
2021-04-01,224.36000061035156
2021-04-05,225.3000030517578
2021-04-06,230.57000732421875
2021-04-07,225.4199981689453
2021-04-08,228.24000549316406
2021-04-09,223.30999755859375
2021-04-12,244.00999450683594
2021-04-13,241.88999938964844
2021-04-14,239.22999572753906
2021-04-15,239.08999633789062
2021-04-16,238.69000244140625
2021-04-19,234.77999877929688
2021-04-20,229.8800048828125
2021-04-21,229.44000244140625
2021-04-22,229.35000610351562
2021-04-23,232.0800018310547
2021-04-26,232.6999969482422
2021-04-27,235.9199981689453
2021-04-28,236.72000122070312
2021-04-29,234.17999267578125
2021-04-30,230.9499969482422
2021-05-03,230.7100067138672
2021-05-04,227.89999389648438
2021-05-05,226.77999877929688
2021-05-06,226.4199981689453
2021-05-07,225.30999755859375
2021-05-10,219.52999877929688
2021-05-11,221.3800048828125
2021-05-12,219.89999389648438
2021-05-13,206.0800018310547
2021-05-14,209.50999450683594
2021-05-17,211.0500030517578
2021-05-18,213.72000122070312
2021-05-19,212.5399932861328
2021-05-20,216.99000549316406
2021-05-21,211.05999755859375
2021-05-24,210.44000244140625
2021-05-25,211.1300048828125
2021-05-26,211.77999877929688
2021-05-27,212.74000549316406
2021-05-28,213.9600067138672
2021-06-01,219.47999572753906
2021-06-02,219.58999633789062
2021-06-03,217.0399932861328
2021-06-04,219.02000427246094
2021-06-07,216.89999389648438
2021-06-08,215.82000732421875
2021-06-09,213.32000732421875
2021-06-10,213.07000732421875
2021-06-11,211.63999938964844
2021-06-14,213.94000244140625
2021-06-15,210.05999755859375
2021-06-16,209.32000732421875
2021-06-17,211.60000610351562
2021-06-18,212.3000030517578
2021-06-21,211.05999755859375
2021-06-22,211.32000732421875
2021-06-23,214.86000061035156
2021-06-24,218.3800048828125
2021-06-25,228.5
2021-06-28,228.58999633789062
2021-06-29,229.44000244140625
2021-06-30,226.77999877929688
2021-07-01,221.8699951171875
2021-07-02,217.75
2021-07-06,211.60000610351562
2021-07-07,208.0
2021-07-08,199.85000610351562
2021-07-09,205.94000244140625
2021-07-12,205.47999572753906
2021-07-13,209.50999450683594
2021-07-14,211.5
2021-07-15,214.75999450683594
2021-07-16,212.10000610351562
2021-07-19,208.91000366210938
2021-07-20,210.58999633789062
2021-07-21,211.0800018310547
2021-07-22,214.0399932861328
2021-07-23,206.52999877929688
2021-07-26,191.75999450683594
2021-07-27,186.07000732421875
2021-07-28,196.00999450683594
2021-07-29,197.5399932861328
2021-07-30,195.19000244140625
2021-08-02,200.08999633789062
