,close
2021-01-04,100.06999969482422
2021-01-05,103.11000061035156
2021-01-06,101.08000183105469
2021-01-07,102.0
2021-01-08,103.98999786376953
2021-01-11,103.83999633789062
2021-01-12,104.02999877929688
2021-01-13,103.88999938964844
2021-01-14,103.41999816894531
2021-01-15,102.05000305175781
2021-01-19,102.2300033569336
2021-01-20,102.88999938964844
2021-01-21,102.55000305175781
2021-01-22,101.11000061035156
2021-01-25,99.27999877929688
2021-01-26,99.70999908447266
2021-01-27,97.0
2021-01-28,97.6500015258789
2021-01-29,95.70999908447266
2021-02-01,98.52999877929688
2021-02-02,99.23999786376953
2021-02-03,111.30999755859375
2021-02-04,110.87999725341797
2021-02-05,116.70999908447266
2021-02-08,115.62000274658203
2021-02-09,112.63999938964844
2021-02-10,113.30999755859375
2021-02-11,113.97000122070312
2021-02-12,113.52999877929688
2021-02-16,114.97000122070312
2021-02-17,114.91999816894531
2021-02-18,113.5199966430664
2021-02-19,115.54000091552734
2021-02-22,113.27999877929688
2021-02-23,112.43000030517578
2021-02-24,109.5999984741211
2021-02-25,107.08000183105469
2021-02-26,105.80999755859375
2021-03-01,108.08000183105469
2021-03-02,105.7699966430664
2021-03-03,104.5199966430664
2021-03-04,101.83999633789062
2021-03-05,104.13999938964844
2021-03-08,100.25
2021-03-09,101.5199966430664
2021-03-10,100.98999786376953
2021-03-11,103.19999694824219
2021-03-12,104.55999755859375
2021-03-15,105.38999938964844
2021-03-16,106.55999755859375
2021-03-17,105.93000030517578
2021-03-18,105.33999633789062
2021-03-19,105.26000213623047
2021-03-22,106.88999938964844
2021-03-23,105.11000061035156
2021-03-24,102.3499984741211
2021-03-25,102.6500015258789
2021-03-26,105.41999816894531
2021-03-29,106.5999984741211
2021-03-30,104.51000213623047
2021-03-31,106.01000213623047
2021-04-01,106.86000061035156
2021-04-05,111.38999938964844
2021-04-06,109.9000015258789
2021-04-07,110.86000061035156
2021-04-08,109.81999969482422
2021-04-09,111.79000091552734
2021-04-12,111.38999938964844
2021-04-13,111.87999725341797
2021-04-14,111.77999877929688
2021-04-15,112.7699966430664
2021-04-16,111.0999984741211
2021-04-19,109.9800033569336
2021-04-20,108.61000061035156
2021-04-21,108.44000244140625
2021-04-22,108.94000244140625
2021-04-23,109.94000244140625
2021-04-26,108.91999816894531
2021-04-27,106.66999816894531
2021-04-28,104.48999786376953
2021-04-29,104.8499984741211
2021-04-30,100.16000366210938
2021-05-03,99.37000274658203
2021-05-04,96.79000091552734
2021-05-05,97.62999725341797
2021-05-06,97.75
2021-05-07,97.04000091552734
2021-05-10,97.4000015258789
2021-05-11,96.05000305175781
2021-05-12,93.05000305175781
2021-05-13,92.97000122070312
2021-05-14,94.1500015258789
